Items,Responses,Household Number,Age,Gender,Highest level of education,Still in school?,Can read / write?,Domain
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",115,22,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",122,48,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",124,37,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",123,50,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,121,70,Female,Lycée (ambaratonga fahatelo),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",116,23,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",117,56,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",173,22,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",175,26,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",125,27,Female,University,No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",231,49,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",233,20,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",236,32,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",240,27,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",238,27,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",239,60,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,241,67,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",242,52,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",243,32,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",153,54,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",154,35,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",155,27,Female,Lycée (ambaratonga fahatelo),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,146,55,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,97,34,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,156,23,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,157,63,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely not get access,100,31,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",145,35,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will maybe get access,160,45,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,162,28,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",163,24,Male,University,No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,159,,Male,,No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,164,46,Male,E.P.P (ambaratonga voalohany),No,No,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,170,57,Male,Lycée (ambaratonga fahatelo),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,169,21,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,211,42,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",210,32,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",These resources are not accessible to me,213,30,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,214,36,Male,,No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",212,58,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",202,30,Female,Lycée (ambaratonga fahatelo),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",200,31,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",194,27,Female,Lycée (ambaratonga fahatelo),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,201,38,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",207,43,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",205,30,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,206,26,Female,University,No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",204,40,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",These resources are not accessible to me,8,31,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,1,57,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",,6,33,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,,26,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",178,47,Male,E.P.P (ambaratonga voalohany),Yes,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,179,36,Male,E.P.P (ambaratonga voalohany),No,No,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,177,25,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,181,26,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",182,42,Male,Tsy mianatra,No,No,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,180,29,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,183,32,Male,Tsy mianatra,No,No,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,184,72,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",186,27,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,187,31,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,208,28,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",193,32,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",195,27,Male,E.P.P (ambaratonga voalohany),No,No,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",These resources are not accessible to me,196,47,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,209,35,Female,Lycée (ambaratonga fahatelo),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",These resources are not accessible to me,197,55,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,198,38,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",245,32,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,237,28,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,247,34,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",127,26,Male,Tsy mianatra,No,No,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,246,42,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,120,33,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",197,50,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will maybe get access,165,39,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",215,20,Female,University,Yes,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will maybe get access,225,48,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will maybe get access,220,29,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will maybe get access,221,50,Female,E.P.P (ambaratonga voalohany),No,No,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will maybe get access,229,28,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will maybe get access,228,60,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will maybe get access,222,46,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",,216,,Female,Tsy mianatra,No,No,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",230,38,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,39,28,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",168,34,Male,Lycée (ambaratonga fahatelo),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will maybe get access,167,60,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will maybe get access,223,24,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,224,31,Male,Lycée (ambaratonga fahatelo),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ","I can get these resources, no problem.",158,43,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,218,23,Female,Lycée (ambaratonga fahatelo),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,166,40,Male,E.P.P (ambaratonga voalohany),No,No,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,127,35,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,128,27,Female,Tsy mianatra,No,No,
"Step Two: In order to do this step, peers suggest you will need resources (such as information materials, a technican to teach ",I need to ask permission to use these resources and I will likely get access,129,39,Female,E.P.P (ambaratonga voalohany),No,Yes,
that project staff members will not do what is right for me (including my family),Problem,61,50,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,86,31,Male,Tsy mianatra,No,No,expectations
that project staff members will not do what is right for me (including my family),Small problem,105,34,Female,E.P.P (ambaratonga voalohany),No,No,expectations
that project staff members will not do what is right for me (including my family),,79,18,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,75,33,Male,E.P.P (ambaratonga voalohany),No,No,expectations
that project staff members will not do what is right for me (including my family),Big problem,73,50,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Big problem,69,33,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,90,23,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,91,50,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,92,40,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,103,57,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,106,38,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,62,24,Female,Lycée (ambaratonga fahatelo),Yes,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,113,29,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,226,30,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,83,43,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,85,32,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,82,27,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,89,30,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Big problem,93,28,Male,University,No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,94,38,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),,95,23,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),No problem,77,22,Male,Lycée (ambaratonga fahatelo),Yes,Yes,expectations
that project staff members will not do what is right for me (including my family),Big problem,74,32,Male,Tsy mianatra,No,No,expectations
that project staff members will not do what is right for me (including my family),Very big problem,135,27,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,139,21,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),No problem,138,18,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Very big problem,132,45,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Very big problem,134,20,Male,E.P.P (ambaratonga voalohany),No,No,expectations
that project staff members will not do what is right for me (including my family),Very big problem,131,22,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),,141,40,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),No problem,133,25,Female,E.P.P (ambaratonga voalohany),No,No,expectations
that project staff members will not do what is right for me (including my family),Very big problem,130,38,Female,E.P.P (ambaratonga voalohany),No,No,expectations
that project staff members will not do what is right for me (including my family),Very big problem,71,35,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Big problem,104,29,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,110,18,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,109,20,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,107,22,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,108,26,Female,E.P.P (ambaratonga voalohany),No,No,expectations
that project staff members will not do what is right for me (including my family),Problem,112,35,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,111,33,Female,Tsy mianatra,No,No,expectations
that project staff members will not do what is right for me (including my family),Problem,102,36,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,101,29,Female,Lycée (ambaratonga fahatelo),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,96,49,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,98,24,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,142,25,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Big problem,143,35,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,144,40,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,152,42,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,143,32,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,149,53,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,150,22,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,115,22,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,122,48,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,124,37,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,123,50,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,121,70,Female,Lycée (ambaratonga fahatelo),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,116,23,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,117,56,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,173,22,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,175,26,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,125,27,Female,University,No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,231,49,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,233,20,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,236,32,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,240,27,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,238,27,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,239,60,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,241,67,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,242,52,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,243,32,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,153,54,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,154,35,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,155,27,Female,Lycée (ambaratonga fahatelo),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,146,55,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,97,34,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,156,23,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,157,63,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,100,31,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,145,35,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,160,45,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,162,28,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),No problem,163,24,Male,University,No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,159,,Male,,No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,164,46,Male,E.P.P (ambaratonga voalohany),No,No,expectations
that project staff members will not do what is right for me (including my family),Small problem,170,57,Male,Lycée (ambaratonga fahatelo),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,169,21,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,211,42,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,210,32,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,213,30,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,214,36,Male,,No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,212,58,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,202,30,Female,Lycée (ambaratonga fahatelo),No,Yes,expectations
that project staff members will not do what is right for me (including my family),No problem,200,31,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,194,27,Female,Lycée (ambaratonga fahatelo),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Very big problem,201,38,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,207,43,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,205,30,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Very big problem,206,26,Female,University,No,Yes,expectations
that project staff members will not do what is right for me (including my family),Small problem,204,40,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Very big problem,8,31,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),No problem,1,57,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),,6,33,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),No problem,,26,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,178,47,Male,E.P.P (ambaratonga voalohany),Yes,Yes,expectations
that project staff members will not do what is right for me (including my family),Problem,179,36,Male,E.P.P (ambaratonga voalohany),No,No,expectations
